UUID,Date,Description,Category,Amount,Note
602B4281-8D9E-45E6-9E72-3B475143ACD5,2024-10-04,Ralphs,Groceries,20,
D9B5B390-EEBA-4AA7-8C8A-B1D4DA31E520,2024-10-04,Ralphs,Groceries,24.8,
F014E5CE-748E-4AD9-9EAB-85C78BC0FD19,2024-10-04,Ralphs,Groceries,35.78,Tomatos
CEFEB48A-388F-429A-A503-409B0B8F2BE6,2024-10-04,Ralphs,Groceries,28,Tomatos
36A784B6-6721-4AAE-A406-D0C988363313,2024-10-06,CVS,Groceries,8.13,
8DAB76BC-F71F-4A44-92F9-46978C582ABB,2024-10-07,Cox,Utilities,50,
5D6EFF75-B2E4-428F-849B-577E04AE506B,2024-10-07,Panda Express,Dining Out,10.99,
6B908140-9D85-4FC1-9465-0CB9A9D9F058,2024-10-09,Padres Dinner,Dining Out,32.85,
D445B12A-811A-4334-BA34-4B604C4D6881,2024-10-09,Nex Groceries,Groceries,39.01,
B99DE70C-1F9E-4EBF-A093-63A7B9701AF1,2024-10-09,Car wash,Transportation,6,
4ED9C040-DD30-478B-9134-04468EFC2B44,2024-10-09,Ralphs,Groceries,34.05,
EEB5D144-384E-4EBA-987C-8E844D5F0C52,2024-10-10,Parking,Transportation,1.24,
FDC8F6F7-9C9D-4885-9D75-2FE62BE2496B,2024-10-10,Notebook,Utilities,16.35,
15663E18-930C-4AE4-BA4D-3423072F24DA,2024-10-10,Walmart,Home,236.11,Speaker/Kitchen
A9C6D381-4187-49E3-B09C-D0267CC1FE92,2024-10-11,Ralphs,Groceries,52.83,
7DFD34CC-9891-4173-9571-4C3857A92436,2024-10-13,Konos Breakfast,Dining Out,26.35,
22A56327-09CA-4311-9DEC-6AD390AEBD10,2024-10-14,Chinese Food,Dining Out,37.58,
CA1FDCB0-AAA5-4BDC-AA12-FE7BE7FECEE9,2024-10-14,Espresso maker,Home,12.3,
50CE2324-F252-4410-BFC6-7344B6E0475B,2024-10-14,Flowers,Groceries,7.54,
76839D8F-1428-44D3-845E-1C39BE8BB3D5,2024-10-14,Pumpkin,Home,7,
C017CB38-F56F-452B-B27E-75401584F8B9,2024-10-14,Tupperware,Home,25,
3B902D4A-9C47-4062-81EC-BB09E04EDADE,2024-10-14,Razors,Home,50,
FA0533E9-DBE9-4769-903E-CC4DDB01471C,2024-10-14,Vitamins,Home,25,
76507AAF-78EB-417C-871B-2ABB9257977B,2024-10-14,Costco,Groceries,237,Fuck ton of meat
9A9E3624-AA83-4163-BC6E-65ADBF340ADB,2024-10-15,Coffe Bean Grinder,Home,53.83,
933AB679-8574-4901-9993-942FBF0ECD9B,2024-10-15,Bar Cart,Home,50,
20A04136-D777-4FC8-BD8B-FE77F65D0183,2024-10-16,Ralphs,Groceries,7.09,
A2C060A0-D80E-440B-A1AC-E304E398C273,2024-10-16,Flowers,Groceries,7,
2DBAC27F-3C2E-4328-906F-BB91FC026C41,2024-10-17,Pizza,Dining Out,20.7,
99EF7E34-02B9-4A5B-A4A9-C1BB52D52D51,2024-10-17,Espresso martini,Entertainment,31,
2D41463C-B021-4066-B175-8713A25F63B5,2024-10-18,American junkie,Entertainment,49,
58FFD2E8-0050-47C4-9CF7-A928C0F8E617,2024-10-18,Good Ole John Boys,Entertainment,60.9,
D74421E8-0D6B-40EE-B7BD-BE2BAB3C03D1,2024-10-18,Uber,Transportation,12.5,
D636DA14-C908-41FB-A4EF-B6564DBB9684,2024-10-19,Coffe Bar,Home,51.89,
DF962C6C-3BDA-48CE-9BF8-BDE4D3496BA1,2024-10-19,SDGE,Utilities,7.6,
038A0F6A-F8B0-47DA-8823-0333A814D596,2024-10-19,Cox,Utilities,50,
25103908-982A-4225-8842-EA03B039FC0F,2024-10-19,FLL to San,Transportation,262.98,
30D39D68-187D-4F57-801D-EA5B21A9EF46,2024-10-19,Yoga,Entertainment,19,
5DBE19F6-1D27-4BFC-8AFF-39B57DBA76E6,2024-10-19,Miranda Gift,Entertainment,42.61,
9B9EB2F4-9457-4F4B-9DD4-662AD9F66450,2024-10-20,Coffee,Groceries,12,
4AB63B73-B694-432E-AF18-221808D33C32,2024-10-20,Paper towels,Home,4,
F612FA59-07AF-4209-9B6C-08AA166FE835,2024-10-21,Hollywood Script,Home,6.03,
D68960A9-52D1-422B-9EFA-6D7A9C69E541,2024-10-21,Cali Burrito,Dining Out,15.4,
79066609-837D-434A-A231-F2786950D248,2024-10-22,Uber,Transportation,9.37,
1D876E09-A378-441D-8A05-4E4C7B7ADEC5,2024-10-23,Coffee,Groceries,10,
FB73017F-DB01-4050-9DE6-3703FA32C055,2024-10-23,Sushi,Dining Out,7,
691CC290-36BA-4DD7-AE7B-D2314918CDBB,2024-10-25,Wine,Entertainment,27,
EBF7D9DB-F73F-470F-9284-E8B888973886,2024-10-25,Breakfast,Groceries,20,
F6D3BBE1-8D34-4B27-8711-91AB9400DB6B,2024-10-26,Wrap,Dining Out,5,
53E6ED9E-EF43-49A8-AC1E-BBCDFCB6877A,2024-10-26,Face soap,Home,7,
67F3588C-B59C-4460-834A-33BC82934183,2024-10-26,Taco Shop,Dining Out,14,
4C5318CF-5EF2-4588-9C70-7154C930BAB5,2024-10-27,Coffee/breakfast,Dining Out,50,
3CD253B9-2EA4-4048-BB22-C95B3517E8F2,2024-10-27,Decaf Whole Beans,Groceries,12,
ECB53D59-8310-486F-ACA4-F4C226E3D3BA,2024-10-27,Candles,Entertainment,45,
CBD46D94-AC6D-438A-87DD-B0B14F72D971,2024-10-30,Taco stand,Dining Out,12.83,
6DD79C71-2B59-4132-925E-1DD2AFCDB83E,2024-10-30,ChatGPT,Utilities,20,
580536DB-0455-4B4B-8067-342717373B76,2024-10-31,Ralphs,Groceries,18.63,
5BBAF8DE-3173-4716-881B-2BC80B15CC53,2024-10-31,Ralphs,Groceries,18.49,
E3AFD08F-8CCB-4D2F-A17C-44D72389FDB1,2024-11-02,House of Blues,Entertainment,19,
A9C2D47E-00FD-47B6-A04F-C149E97D66E8,2024-11-02,Coffee,Dining Out,15,
3FE31BFE-2F41-4DD1-AEAC-EF2118C5378A,2024-11-02,Miranda birthday,Dining Out,176,
AC710AA1-A449-4CF8-87B8-0BCAAD417F87,2024-11-02,House of blues,Entertainment,25,
166C1ADD-B03D-4795-AA85-F472ABDFAAB9,2024-11-02,Dessert,Groceries,3,
A51CB819-092F-4DAA-BC90-2CF08EDDA84F,2024-11-03,Flowers,Groceries,10.75,
60DA8D9C-B60F-4317-A97F-B60678068518,2024-11-04,Gas,Transportation,40,
75BFDC8D-2D0B-44AC-B302-478F9435DB68,2024-11-04,Sushi,Dining Out,106,
E1E14D9E-BC65-4D7F-8E91-98A55A0ED3DC,2024-11-05,Wine,Entertainment,13,
15E87264-AAE0-481A-86D6-C7BA03C643C8,2024-11-06,Walmart Groceries,Groceries,25,
2B7FED5A-AD62-4BDA-A2C8-BA5B525DAB6F,2024-11-06,Home needs,Home,14,
93783D57-34FB-4061-91EB-005E9B3E52D6,2024-11-06,Coffee creamer,Groceries,7.4,
899402C2-033D-4955-9423-7277E454C0D1,2024-11-07,Cox,Utilities,50,
779B1ECF-8730-42E2-969C-25FB9F383A51,2024-11-08,Ralphs,Groceries,22.07,
CCD9736D-36A5-4CDF-A81B-CDFE4F590DED,2024-11-08,Espresso martini,Entertainment,50,
E42C73C5-F28F-4F82-9DF5-BDEEF617DE47,2024-11-08,Miranda dinner,Groceries,20.05,
514B88E0-E4D4-42B9-AAE2-5AEF325EF202,2024-11-08,Beaumonts cover,Entertainment,10,
46F0F24F-2431-45D9-B17D-8376AB237C92,2024-11-09,Titos,Entertainment,27,
6FCE52A1-C79B-4C3F-8B59-A9360215213C,2024-11-09,Snow gloves,Entertainment,35,
F4CC6F36-76FC-4950-8404-D8225DDBE5B4,2024-11-09,Snow goggles,Entertainment,75,
DD42C6CD-50BA-4F42-AFC2-1670B7563258,2024-11-09,Good night john boys,Entertainment,10,
98DBABFD-F3F4-4190-9F64-92EAC8836F87,2024-11-10,Uber,Transportation,43,
FEAC6B52-8A33-4D3B-B5A1-0A3378AB90D3,2024-11-10,Sauce,Groceries,25,
96BD37EA-3AE8-473D-8864-EADDD1485B62,2024-11-10,Lahina,Entertainment,37,
4E38DAD6-0FC6-4D7E-9A7E-FD75504806BB,2024-11-10,Poke bowl,Dining Out,27,
13494D1D-518A-471D-8D33-EF7F8727F272,2024-11-11,Ralphs,Groceries,17,
FC47A999-9637-48FD-B6AD-0AC635726486,2024-11-12,Haircut,Home,37,
73C93861-E323-4F07-A11B-F691219ADAA9,2024-11-12,Costco,Groceries,134.17,
A182C295-AC16-4AEB-A92F-4362DCD75D4E,2024-11-12,San francisco,,438,
CC30EEE1-F1AA-4775-98AA-CDB00EDF5F50,2024-11-12,San Francisco,Excess,434,
C803BD99-3727-4423-A8D6-E192FCC60D3C,2024-11-12,Flight home,Transportation,393,
